record_id,cpse,original_description,normalized_description,canonical_id,canonical_description,category,description_similarity
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0061,1C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,87.27272727272728
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0062,1C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,86.95652173913044
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0063,3C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,86.95652173913044
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0064,3C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,86.95652173913044
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,86.95652173913044
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0066,4C X 10 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.88888888888889
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0067,4C X 16 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.88888888888889
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0068,4C X 25 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.88888888888889
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0069,3C X 35 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,86.95652173913044
0,CPSE-C,4CX25 SQMM PVC CABLE 1.1KV,4CX25 SQMM PVC CABLE 1.1KV,CM0070,4C X 50 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.88888888888889
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0081,CENTRIFUGAL PUMP 20 M3/H 30M HEAD 5.5KW,PUMP,64.70588235294117
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0082,CENTRIFUGAL PUMP 30 M3/H 40M HEAD 7.5KW,PUMP,58.8235294117647
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0083,CENTRIFUGAL PUMP 50 M3/H 50M HEAD 11KW,PUMP,62.6865671641791
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0084,CENTRIFUGAL PUMP 75 M3/H 40M HEAD 15KW,PUMP,62.6865671641791
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0085,CENTRIFUGAL PUMP 100 M3/H 50M HEAD 22KW,PUMP,64.70588235294117
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0086,CENTRIFUGAL PUMP 120 M3/H 60M HEAD 30KW,PUMP,67.64705882352942
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0087,CENTRIFUGAL PUMP 150 M3/H 50M HEAD 37KW,PUMP,67.64705882352942
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0088,CENTRIFUGAL PUMP 200 M3/H 60M HEAD 45KW,PUMP,70.58823529411765
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0089,CENTRIFUGAL PUMP 250 M3/H 70M HEAD 55KW,PUMP,86.27450980392157
1,CPSE-C,C/PMP 250 M3/H 70M HEAD 55KW,C PUMP 250 M3 H 70M HEAD 55KW,CM0090,CENTRIFUGAL PUMP 300 M3/H 80M HEAD 75KW,PUMP,67.64705882352942
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,88.88888888888889
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,88.88888888888889
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0053,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GASKET,76.92307692307692
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0054,6 IN SPIRAL WOUND GRAPHITE GASKET 150 CLASS,GASKET,83.33333333333333
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0055,8 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,64.7887323943662
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0056,2 IN PTFE FULL FACE GASKET 150 CLASS,GASKET,67.6056338028169
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0057,4 IN SS GRAPHITE GASKET 150 CLASS,GASKET,91.80327868852459
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0058,6 IN PTFE FULL FACE GASKET 300 CLASS,GASKET,59.15492957746479
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,83.33333333333333
2,CPSE-C,2 IN SW SS GRAPHITE GASKET 150 CLASS,2IN SW SS GRAPHITE GASKET 150 CLASS,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,78.48101265822785
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0001,M10 X 50 SS304 HEX BOLT,FASTENER,58.8235294117647
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0002,M12 X 50 SS304 HEX BOLT,FASTENER,54.90196078431372
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0003,M10 X 75 SS316 HEX BOLT,FASTENER,58.8235294117647
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0004,M16 X 60 CARBON STEEL HEX BOLT,FASTENER,89.65517241379311
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0005,M20 X 80 GALVANIZED STEEL HEX BOLT,FASTENER,66.66666666666666
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0006,M8 X 40 CARBON STEEL HEX BOLT,FASTENER,85.71428571428571
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0007,M12 X 80 SS316 HEX BOLT,FASTENER,54.90196078431372
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0008,M16 X 75 SS304 HEX BOLT,FASTENER,58.8235294117647
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0009,M20 X 100 CARBON STEEL HEX BOLT,FASTENER,85.71428571428571
3,CPSE-A,M16 X 60 CS HEX BOLT,M16X60 CARBON STEEL HEX BOLT,CM0010,M10 X 30 SS304 HEX BOLT,FASTENER,58.8235294117647
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0071,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,MOTOR,84.50704225352112
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0072,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,MOTOR,87.32394366197182
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0073,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,MOTOR,85.71428571428571
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0074,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,MOTOR,85.71428571428571
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0075,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,MOTOR,83.63636363636364
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0076,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,MOTOR,85.71428571428571
4,CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0077,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,88.57142857142857
