record_id,cpse,cpse_material_code,original_description,predicted_canonical_id,national_material_code,confidence,final_decision
0,CPSE-C,CPSEC-769987,4CX25 SQMM PVC CABLE 1.1KV,CM0068,NMMC-ELECTRICAL_CABLE-0068,97.67,MATCH
1,CPSE-C,CPSEC-454508,C/PMP 250 M3/H 70M HEAD 55KW,CM0089,NMMC-PUMP-0089,97.12,MATCH
2,CPSE-C,CPSEC-329974,2 IN SW SS GRAPHITE GASKET 150 CLASS,CM0051,NMMC-GASKET-0051,97.67,REVIEW
3,CPSE-A,CPSEA-207473,M16 X 60 CS HEX BOLT,CM0004,NMMC-FASTENER-0004,97.83,MATCH
4,CPSE-C,CPSEC-172574,3 PHASE IND MTR 37KW 415V 50HZ,CM0078,NMMC-MOTOR-0078,98.6,MATCH
5,CPSE-B,CPSEB-352572,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,CM0076,NMMC-MOTOR-0076,100.0,MATCH
6,CPSE-B,CPSEB-898975,4CX10 SQMM PVC CABLE 1.1KV,CM0066,NMMC-ELECTRICAL_CABLE-0066,97.67,MATCH
7,CPSE-B,CPSEB-383060,"3""SS316 SEAMLESS PIPE SCH40",CM0037,NMMC-PIPE-0037,99.28,NO_MATCH
8,CPSE-C,CPSEC-356787,M12X50 SS304 HEX BOLT,CM0002,NMMC-FASTENER-0002,97.14,MATCH
9,CPSE-B,CPSEB-112038,"10""GRAPHITE SPIRAL WOUND GASK 150#",CM0059,NMMC-GASKET-0059,91.76,MATCH
10,CPSE-A,CPSEA-231869,3 PHASE INDUCTION MTR 55KW 415V 50HZ,CM0080,NMMC-MOTOR-0080,100.0,MATCH
11,CPSE-A,CPSEA-946335,SPHERICAL ROLLER BRG 22205,CM0020,NMMC-BEARING-0020,100.0,MATCH
12,CPSE-C,CPSEC-120422,3 PHASE IND MTR 11KW 415V 50HZ,CM0073,NMMC-MOTOR-0073,98.6,MATCH
13,CPSE-A,CPSEA-325772,DEEP GROOVE BALL BRG 6307,CM0016,NMMC-BEARING-0016,100.0,MATCH
14,CPSE-C,CPSEC-379786,1CX2.5 SQMM PVC CABLE 1.1KV,CM0061,NMMC-ELECTRICAL_CABLE-0061,98.5,MATCH
15,CPSE-C,CPSEC-972064,3 PHASE IND MTR 15KW 415V 50HZ,CM0074,NMMC-MOTOR-0074,98.6,MATCH
16,CPSE-B,CPSEB-665427,CUTTING MACHINE 355MM 2000W,CM0097,NMMC-INDUSTRIAL_TOOL-0097,100.0,MATCH
17,CPSE-B,CPSEB-665579,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,CM0071,NMMC-MOTOR-0071,100.0,MATCH
18,CPSE-B,CPSEB-549245,"6""SS316 WELD NECK FLG 150#",CM0050,NMMC-FLANGE-0050,97.18,MATCH
19,CPSE-A,CPSEA-542666,2 IN PTFE FULL FACE GKT 150 CLASS,CM0056,NMMC-GASKET-0056,99.7,MATCH
20,CPSE-A,CPSEA-910620,6 IN SS316 BALL VLV 300 CLASS,CM0027,NMMC-VALVE-0027,99.66,MATCH
21,CPSE-C,CPSEC-330283,4 IN CS SEAMLESS PIPE SCH80,CM0038,NMMC-PIPE-0038,96.35,MATCH
22,CPSE-A,CPSEA-891952,CENT PMP 75 M3/H 40M HEAD 15KW,CM0084,NMMC-PUMP-0084,96.65,MATCH
23,CPSE-B,CPSEB-865388,CENTRIF PUMP 75 M3/H 40M HEAD 15KW,CM0084,NMMC-PUMP-0084,97.67,MATCH
24,CPSE-C,CPSEC-864544,8 IN SS316 SEAMLESS PIPE SCH40,CM0035,NMMC-PIPE-0035,99.64,MATCH
25,CPSE-A,CPSEA-456778,DEEP GROOVE BALL BRG 6306,CM0015,NMMC-BEARING-0015,100.0,MATCH
26,CPSE-C,CPSEC-446479,E-DRILL 10MM 650W,CM0094,NMMC-INDUSTRIAL_TOOL-0094,94.37,MATCH
27,CPSE-B,CPSEB-354801,TORQUE WRENCH 50-250NM,CM0099,NMMC-INDUSTRIAL_TOOL-0099,100.0,REVIEW
28,CPSE-B,CPSEB-892495,"4""SPIRAL WOUND GRAPHITE GASK 300#",CM0053,NMMC-GASKET-0053,94.27,MATCH
29,CPSE-B,CPSEB-234628,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,CM0080,NMMC-MOTOR-0080,100.0,MATCH
30,CPSE-C,CPSEC-131244,M8X40 CS HEX BOLT,CM0006,NMMC-FASTENER-0006,97.75,MATCH
31,CPSE-C,CPSEC-813536,8 IN PTFE FF GASKET 150 CLASS,CM0055,NMMC-GASKET-0055,97.0,MATCH
32,CPSE-A,CPSEA-717889,DEEP GROOVE BALL BRG 6206,CM0012,NMMC-BEARING-0012,100.0,MATCH
33,CPSE-A,CPSEA-688508,M20 X 100 CS HEX BOLT,CM0009,NMMC-FASTENER-0009,97.2,MATCH
34,CPSE-C,CPSEC-728038,3 PHASE IND MTR 7.5KW 415V 50HZ,CM0072,NMMC-MOTOR-0072,98.65,MATCH
35,CPSE-C,CPSEC-158655,8 IN CS SEAMLESS PIPE SCH80,CM0040,NMMC-PIPE-0040,96.35,MATCH
36,CPSE-B,CPSEB-246316,M10X75 SS316 HEX BOLT,CM0003,NMMC-FASTENER-0003,97.14,MATCH
37,CPSE-A,CPSEA-270555,2 IN CS SEAMLESS PIP SCH40,CM0031,NMMC-PIPE-0031,95.26,MATCH
38,CPSE-B,CPSEB-900581,DEEP GROOVE BALL BEARING 6307,CM0016,NMMC-BEARING-0016,100.0,MATCH
39,CPSE-B,CPSEB-838797,"6""CS BUTTERFLY VAL 150#",CM0025,NMMC-VALVE-0025,94.47,MATCH
40,CPSE-A,CPSEA-319684,3 IN CS SEAMLESS PIP SCH40,CM0032,NMMC-PIPE-0032,95.26,NO_MATCH
41,CPSE-B,CPSEB-793384,"4""SS304 GATE VAL 150#",CM0026,NMMC-VALVE-0026,95.64,MATCH
42,CPSE-B,CPSEB-801474,"IMPACT WRENCH 1/2""500W",CM0096,NMMC-INDUSTRIAL_TOOL-0096,96.5,MATCH
43,CPSE-A,CPSEA-581741,2 IN SS304 GATE VLV 150 CLASS,CM0021,NMMC-VALVE-0021,99.66,MATCH
44,CPSE-C,CPSEC-338968,4 IN SS304 GTV 150 CLASS,CM0026,NMMC-VALVE-0026,95.58,REVIEW
45,CPSE-A,CPSEA-496922,2 IN SS304 GATE VLV 300 CLASS,CM0022,NMMC-VALVE-0022,99.66,MATCH
46,CPSE-A,CPSEA-897549,3 PHASE INDUCTION MTR 45KW 415V 50HZ,CM0079,NMMC-MOTOR-0079,100.0,MATCH
47,CPSE-B,CPSEB-189814,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,CM0077,NMMC-MOTOR-0077,100.0,MATCH
48,CPSE-A,CPSEA-821590,4 IN CS SEAMLESS PIP SCH80,CM0038,NMMC-PIPE-0038,95.26,MATCH
49,CPSE-A,CPSEA-609597,3 PHASE INDUCTION MTR 37KW 415V 50HZ,CM0078,NMMC-MOTOR-0078,100.0,MATCH
50,CPSE-A,CPSEA-663054,1C X 2.5 SQMM PVC CABL 1.1KV,CM0061,NMMC-ELECTRICAL_CABLE-0061,99.63,MATCH
51,CPSE-A,CPSEA-665158,4 IN SS304 SLIP ON FLG 300 CLASS,CM0049,NMMC-FLANGE-0049,99.7,MATCH
52,CPSE-C,CPSEC-791798,3 PHASE IND MTR 55KW 415V 50HZ,CM0080,NMMC-MOTOR-0080,98.6,MATCH
53,CPSE-A,CPSEA-148050,4 IN SS304 GATE VLV 150 CLASS,CM0026,NMMC-VALVE-0026,99.66,REVIEW
54,CPSE-A,CPSEA-595948,BENCH GRINDER 200MM 550W,CM0100,NMMC-INDUSTRIAL_TOOL-0100,100.0,MATCH
55,CPSE-C,CPSEC-340062,A/GRINDER 125MM 1100W,CM0093,NMMC-INDUSTRIAL_TOOL-0093,42.57,NO_MATCH
56,CPSE-B,CPSEB-816751,"4""SS304 SEAMLESS PIPE SCH40",CM0033,NMMC-PIPE-0033,99.28,MATCH
57,CPSE-C,CPSEC-472528,2 IN CS SEAMLESS PIPE SCH40,CM0031,NMMC-PIPE-0031,96.35,MATCH
58,CPSE-A,CPSEA-857168,3C X 6 SQMM PVC CABL 1.1KV,CM0065,NMMC-ELECTRICAL_CABLE-0065,99.6,MATCH
59,CPSE-B,CPSEB-308496,M20X100 CS HEX BOLT,CM0009,NMMC-FASTENER-0009,97.2,MATCH
60,CPSE-B,CPSEB-955662,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,CM0078,NMMC-MOTOR-0078,100.0,MATCH
61,CPSE-C,CPSEC-865179,SR BRG 22205,CM0020,NMMC-BEARING-0020,97.83,MATCH
62,CPSE-A,CPSEA-334053,M10 X 75 SS316 HEX BOLT,CM0003,NMMC-FASTENER-0003,97.14,MATCH
63,CPSE-C,CPSEC-456699,1CX4 SQMM PVC CABLE 1.1KV,CM0062,NMMC-ELECTRICAL_CABLE-0062,98.38,MATCH
64,CPSE-C,CPSEC-363626,6 IN PTFE FF GASKET 300 CLASS,CM0058,NMMC-GASKET-0058,97.0,MATCH
65,CPSE-A,CPSEA-539898,DEEP GROOVE BALL BRG 6205,CM0011,NMMC-BEARING-0011,100.0,MATCH
66,CPSE-B,CPSEB-731262,M16X75 SS304 HEX BOLT,CM0008,NMMC-FASTENER-0008,97.14,MATCH
67,CPSE-B,CPSEB-804314,CENTRIF PUMP 120 M3/H 60M HEAD 30KW,CM0086,NMMC-PUMP-0086,97.73,MATCH
68,CPSE-C,CPSEC-377370,TR BRG 30305,CM0019,NMMC-BEARING-0019,97.83,MATCH
69,CPSE-A,CPSEA-216970,3C X 2.5 SQMM PVC CABL 1.1KV,CM0063,NMMC-ELECTRICAL_CABLE-0063,99.63,MATCH
70,CPSE-A,CPSEA-497887,3 IN SS316 SEAMLESS PIP SCH40,CM0037,NMMC-PIPE-0037,99.28,REVIEW
71,CPSE-A,CPSEA-380746,3 IN CS SLIP ON FLG 150 CLASS,CM0043,NMMC-FLANGE-0043,97.0,MATCH
72,CPSE-C,CPSEC-867460,3 PHASE IND MTR 30KW 415V 50HZ,CM0077,NMMC-MOTOR-0077,98.6,MATCH
73,CPSE-B,CPSEB-854639,3CX6 SQMM PVC CABLE 1.1KV,CM0065,NMMC-ELECTRICAL_CABLE-0065,98.38,MATCH
