cpse,record_description,normalized_description,canonical_id,canonical_description,category,description_score,technical_score,category_score,conflict_count,conflicts,confidence_score,decision,candidate_rank
CPSE-C,10 IN CS BFV 150 CLASS,10IN CARBON STEEL BFV 150 CLASS,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,61.54,100.0,100.0,0,,82.69,REVIEW,1
CPSE-A,10 IN CS BUTTERFLY VLV 150 CLASS,10IN CARBON STEEL BUTTERFLY VALVE 150 CLASS,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,84.75,100.0,100.0,0,,93.14,MATCH,1
CPSE-A,10 IN GRAPHITE SPIRAL WOUND GKT 150 CLASS,10IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,98.85,100.0,100.0,0,,99.48,MATCH,1
CPSE-C,10 IN GRAPHITE SW GASKET 150 CLASS,10IN GRAPHITE SW GASKET 150 CLASS,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,86.21,100.0,100.0,0,,93.79,MATCH,1
CPSE-A,10 IN SS304 SLIP ON FLG 150 CLASS,10IN SS304 SLIP ON FLANGE 150 CLASS,CM0047,10 IN SS304 SLIP ON FLANGE 150 CLASS,FLANGE,98.59,100.0,100.0,0,,99.37,MATCH,1
CPSE-C,10 IN SS304 SO FLG 150 CLASS,10IN SS304 SO FLANGE 150 CLASS,CM0047,10 IN SS304 SLIP ON FLANGE 150 CLASS,FLANGE,87.88,100.0,100.0,0,,94.55,MATCH,1
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,67.8,0.0,100.0,0,,40.51,NO_MATCH,1
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0025,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,65.52,0.0,100.0,0,,39.48,NO_MATCH,2
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,45.28,0.0,100.0,0,,30.38,NO_MATCH,3
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,44.44,0.0,100.0,0,,30.0,NO_MATCH,4
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0028,8 IN CS GATE VALVE 300 CLASS,VALVE,41.51,0.0,100.0,0,,28.68,NO_MATCH,5
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,39.29,0.0,100.0,0,,27.68,NO_MATCH,6
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0026,4 IN SS304 GATE VALVE 150 CLASS,VALVE,39.29,0.0,100.0,0,,27.68,NO_MATCH,7
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,35.71,0.0,100.0,0,,26.07,NO_MATCH,8
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0024,4 IN SS316 BALL VALVE 150 CLASS,VALVE,35.71,0.0,100.0,0,,26.07,NO_MATCH,9
CPSE-B,"10""CS BUTTERFLY VAL 150#",10INCS BUTTERFLY VAL 150#,CM0027,6 IN SS316 BALL VALVE 300 CLASS,VALVE,32.14,0.0,100.0,0,,24.46,NO_MATCH,10
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,64.2,100.0,100.0,0,,83.89,REVIEW,1
CPSE-B,"10""GRAPHITE SPIRAL WOUND GASK 150#",10INGRAPHITE SPIRAL WOUND GASK 150#,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,64.2,100.0,100.0,0,,83.89,REVIEW,2
