record_id,cpse,cpse_material_code,cpse_description,cpse_uom,national_material_code,canonical_description,category,confidence,confidence_gap,conflict_count,migration_status,review_required,migration_action
0,CPSE-C,CPSEC-769987,4CX25 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0008,4C X 25 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,97.67,54.34,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
1,CPSE-C,CPSEC-454508,C/PMP 250 M3/H 70M HEAD 55KW,NOS,NMC-PUMP-0009,CENTRIFUGAL PUMP 250 M3/H 70M HEAD 55KW,PUMP,97.12,97.12,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
2,CPSE-C,CPSEC-329974,2 IN SW SS GRAPHITE GASKET 150 CLASS,NOS,NMC-GASK-0001,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,97.67,4.47,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
3,CPSE-A,CPSEA-207473,M16 X 60 CS HEX BOLT,NOS,NMC-FAST-0004,M16 X 60 CARBON STEEL HEX BOLT,FASTENER,97.83,95.33,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
4,CPSE-C,CPSEC-172574,3 PHASE IND MTR 37KW 415V 50HZ,NOS,NMC-MOTR-0008,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,MOTOR,98.6,68.5,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
5,CPSE-B,CPSEB-352572,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,NOS,NMC-MOTR-0006,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,MOTOR,100.0,68.61,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
6,CPSE-B,CPSEB-898975,4CX10 SQMM PVC CABLE 1.1KV,MTR,NMC-CABL-0006,4C X 10 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,97.67,54.34,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
7,CPSE-B,CPSEB-383060,"3""SS316 SEAMLESS PIPE SCH40",MTR,NMC-PIPE-0007,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,99.28,2.72,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
8,CPSE-C,CPSEC-356787,M12X50 SS304 HEX BOLT,NOS,NMC-FAST-0002,M12 X 50 SS304 HEX BOLT,FASTENER,97.14,56.46,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
9,CPSE-B,CPSEB-112038,"10""GRAPHITE SPIRAL WOUND GASK 150#",NOS,NMC-GASK-0009,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,91.76,91.76,0,MIGRATION_READY,False,REPLACE_LEGACY_CODE
