canonical_id,national_material_code,category,canonical_description,material,grade,standard,diameter_mm,length_mm,size_in,pressure_class,schedule,voltage_v,power_kw,flow_rate_m3h,head_m,cores,cross_section_mm2,bearing_number,valve_type,flange_type,gasket_type,tool_type,tool_size_mm,uom,status,approval_status,source
CM0001,NMC-FAST-0001,FASTENER,M10 X 50 SS304 HEX BOLT,STAINLESS STEEL,SS304,,10.0,50.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0002,NMC-FAST-0002,FASTENER,M12 X 50 SS304 HEX BOLT,STAINLESS STEEL,SS304,,12.0,50.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0003,NMC-FAST-0003,FASTENER,M10 X 75 SS316 HEX BOLT,STAINLESS STEEL,SS316,,10.0,75.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0004,NMC-FAST-0004,FASTENER,M16 X 60 CARBON STEEL HEX BOLT,CARBON STEEL,CS,,16.0,60.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0005,NMC-FAST-0005,FASTENER,M20 X 80 GALVANIZED STEEL HEX BOLT,GALVANIZED STEEL,GI,,20.0,80.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0006,NMC-FAST-0006,FASTENER,M8 X 40 CARBON STEEL HEX BOLT,CARBON STEEL,CS,,8.0,40.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0007,NMC-FAST-0007,FASTENER,M12 X 80 SS316 HEX BOLT,STAINLESS STEEL,SS316,,12.0,80.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0008,NMC-FAST-0008,FASTENER,M16 X 75 SS304 HEX BOLT,STAINLESS STEEL,SS304,,16.0,75.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0009,NMC-FAST-0009,FASTENER,M20 X 100 CARBON STEEL HEX BOLT,CARBON STEEL,CS,,20.0,100.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0010,NMC-FAST-0010,FASTENER,M10 X 30 SS304 HEX BOLT,STAINLESS STEEL,SS304,,10.0,30.0,,,,,,,,,,,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0011,NMC-BEAR-0001,BEARING,DEEP GROOVE BALL BEARING 6205,STEEL,,,,,,,,,,,,,,6205.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0012,NMC-BEAR-0002,BEARING,DEEP GROOVE BALL BEARING 6206,STEEL,,,,,,,,,,,,,,6206.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0013,NMC-BEAR-0003,BEARING,DEEP GROOVE BALL BEARING 6207,STEEL,,,,,,,,,,,,,,6207.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0014,NMC-BEAR-0004,BEARING,DEEP GROOVE BALL BEARING 6305,STEEL,,,,,,,,,,,,,,6305.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0015,NMC-BEAR-0005,BEARING,DEEP GROOVE BALL BEARING 6306,STEEL,,,,,,,,,,,,,,6306.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0016,NMC-BEAR-0006,BEARING,DEEP GROOVE BALL BEARING 6307,STEEL,,,,,,,,,,,,,,6307.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0017,NMC-BEAR-0007,BEARING,TAPERED ROLLER BEARING 30205,STEEL,,,,,,,,,,,,,,30205.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0018,NMC-BEAR-0008,BEARING,TAPERED ROLLER BEARING 30206,STEEL,,,,,,,,,,,,,,30206.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0019,NMC-BEAR-0009,BEARING,TAPERED ROLLER BEARING 30305,STEEL,,,,,,,,,,,,,,30305.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0020,NMC-BEAR-0010,BEARING,SPHERICAL ROLLER BEARING 22205,STEEL,,,,,,,,,,,,,,22205.0,,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0021,NMC-VALV-0001,VALVE,2 IN SS304 GATE VALVE 150 CLASS,SS304,,,,,2.0,150.0,,,,,,,,,GATE,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0022,NMC-VALV-0002,VALVE,2 IN SS304 GATE VALVE 300 CLASS,SS304,,,,,2.0,300.0,,,,,,,,,GATE,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0023,NMC-VALV-0003,VALVE,3 IN CS GATE VALVE 150 CLASS,CARBON STEEL,,,,,3.0,150.0,,,,,,,,,GATE,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0024,NMC-VALV-0004,VALVE,4 IN SS316 BALL VALVE 150 CLASS,SS316,,,,,4.0,150.0,,,,,,,,,BALL,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
CM0025,NMC-VALV-0005,VALVE,6 IN CS BUTTERFLY VALVE 150 CLASS,CARBON STEEL,,,,,6.0,150.0,,,,,,,,,BUTTERFLY,,,,,NOS,ACTIVE,APPROVED,NATIONAL_HARMONIZATION_ENGINE
